date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-12-01,161.308660934,446.0,286200.0,2.2e-05,215.0,3315000.0,63.1618990004,
2016-12-02,187.04339487,511.0,290760.0,2.3e-05,460.0,3372720.0,72.0434550002,
2016-12-03,129.485993365,486.0,200278.0,1.6e-05,218.0,3240120.0,4709.766413,
2016-12-04,790.109446814,580.0,292038.0,2.3e-05,290.0,3251040.0,82.0364779982,
2016-12-05,464.495320211,567.0,198010.0,1.5e-05,94.0,3255720.0,76.1337709982,
2016-12-06,69.8258698843,494.0,197490.0,1.5e-05,271.0,3208920.0,65.3846940002,
2016-12-07,90.3815737994,549.0,195542.0,1.5e-05,30.0,3286920.0,73.3192990001,
2016-12-08,96.9183836262,474.0,238004.0,1.9e-05,254.0,3208920.0,73.5769510002,
2016-12-09,2319.97007634,385.0,209850.0,1.6e-05,1758.0,3265080.0,5189.86074199,
2016-12-10,29941.8156946,381.0,198168.0,1.5e-05,824.0,3343080.0,55.5930239286,
2016-12-11,179.655951776,362.0,296790.0,2.3e-05,241.0,3296280.0,55.465788,
2016-12-12,104.931164129,353.0,294810.0,2.3e-05,257.0,3201120.0,55.5697420002,
2016-12-13,60.2834146791,434.0,201414.0,1.6e-05,98.0,3361800.0,58.8330600003,
2016-12-14,98.7719815398,350.0,216848.0,1.7e-05,110.0,3180840.0,54.6750720004,
2016-12-15,625.963642877,361.0,295280.0,2.3e-05,569.0,3336840.0,55.2998339984,
2016-12-16,841.180608699,537.0,298633.0,2.3e-05,183.0,3388320.0,72.1278000001,
2016-12-17,331.172013751,551.0,205354.0,1.6e-05,224.0,3407040.0,70.4354669999,
2016-12-18,1085.22399748,443.0,306251.0,2.4e-05,608.0,3294720.0,79.6297610085,
2016-12-19,285.483826634,463.0,202435.0,1.6e-05,24.0,3300960.0,56.2245279999,
2016-12-20,342.849432586,448.0,208839.0,1.6e-05,37.0,3215160.0,71.8431800001,
2016-12-21,860.82588668,631.0,204919.0,1.6e-05,865.0,3307200.0,86.4942989999,
2016-12-22,640.757181991,726.0,213467.0,1.7e-05,64.0,3430440.0,5748.950682,
2016-12-23,309.668505908,527.0,224244.0,1.8e-05,244.0,3274440.0,72.0502709999,
2016-12-24,316.027398513,638.0,236019.0,1.8e-05,110.0,3520920.0,13184.123297,
2016-12-25,312.470924546,524.0,232169.0,1.8e-05,68.0,3436680.0,74.4619690001,
2016-12-26,845.892004508,520.0,273194.0,2.1e-05,133.0,3466320.0,72.0009420014,
2016-12-27,581.502063462,406.0,237539.0,1.9e-05,275.0,3779880.0,57.9129180012,
2016-12-28,113.740633121,383.0,238777.0,1.9e-05,301.0,3714360.0,61.0202000001,
2016-12-29,177.123173227,449.0,252209.0,2e-05,222.0,3758040.0,14093.584807,
2016-12-30,645.405705333,580.0,249087.0,1.9e-05,303.0,3734640.0,76.7875869982,
2016-12-31,406.530404419,575.0,246945.0,1.9e-05,21.0,3708120.0,74.6927690001,
2017-01-01,466.130880921,518.0,246813.0,1.9e-05,297.0,3609840.0,6944.754433,
2017-01-02,636.920292122,657.0,283254.0,2.2e-05,773.0,3655080.0,95.0864519999,
2017-01-03,402.142088775,571.0,270343.0,2.1e-05,207.0,3845400.0,78.0359350002,
2017-01-04,432.324341586,590.0,267087.0,2.1e-05,293.0,3914040.0,100.294915999,
2017-01-05,338.270414672,545.0,295460.0,2.3e-05,174.0,4001400.0,75.3211800003,
2017-01-06,478.439025075,510.0,259293.0,2e-05,202.0,3987360.0,66.3677229998,
2017-01-07,311.307167031,602.0,285384.0,2.2e-05,1361.0,3556800.0,77.3673680002,
2017-01-08,573.035524705,601.0,233909.0,1.8e-05,60.0,3244800.0,551.51639,
2017-01-09,239.501261367,439.0,233148.0,1.8e-05,385.0,3218280.0,1162.575236,
2017-01-10,227.090386875,512.0,231006.0,1.8e-05,83.0,3227640.0,68.1122310002,
2017-01-11,187.136412196,485.0,232247.0,1.8e-05,583.0,3563040.0,66.9016590003,
2017-01-12,210.946132213,491.0,199004.0,1.6e-05,82.0,3252600.0,67.116101,
2017-01-13,174.174951964,452.0,205933.0,1.6e-05,42.0,3299400.0,68.2578590002,
2017-01-14,168.380955933,492.0,210832.0,1.6e-05,119.0,3243240.0,69.5013970004,
2017-01-15,196.641082808,509.0,209406.0,1.6e-05,217.0,3205800.0,69.8878739997,
2017-01-16,322.961440832,580.0,212125.0,1.7e-05,349.0,3251040.0,78.1282079997,
2017-01-17,483.508494177,614.0,213005.0,1.7e-05,212.0,3488160.0,77.7965360002,
2017-01-18,166.835368895,582.0,245082.0,1.9e-05,70.0,3442920.0,77.7663390004,
2017-01-19,552.892279296,383.0,227502.0,1.8e-05,3820.0,3374280.0,57.8425100011,
2017-01-20,887.091433693,376.0,234674.0,1.8e-05,86.0,3246360.0,56.0816760014,
2017-01-21,116.933538222,646.0,233596.0,1.8e-05,500.0,3382080.0,82.4131870003,
2017-01-22,103.642390048,361.0,235932.0,1.8e-05,809.0,3322800.0,53.8096300002,
2017-01-23,570.3786677,388.0,236895.0,1.9e-05,5085.0,3261960.0,60.3471000013,
2017-01-24,1414.12387714,487.0,353288.0,2.8e-05,1143.0,3549000.0,151.723695999,
2017-01-25,498.864604876,537.0,318694.0,2.5e-05,917.0,2954640.0,64.7207249997,
2017-01-26,65.1337955051,370.0,230781.0,1.8e-05,685.0,2840760.0,51.5413090002,
2017-01-27,822.049842821,434.0,347166.0,2.7e-05,229.0,2910960.0,59.3565839992,
2017-01-28,364.529680078,394.0,248536.0,1.9e-05,2371.0,2948400.0,54.841426999,
2017-01-29,323.693146159,364.0,246765.0,1.9e-05,304.0,3004560.0,50.6268569999,
2017-01-30,77.1281403524,319.0,244890.0,1.9e-05,1241.0,3062280.0,45.0389889999,
2017-01-31,84.338739172,388.0,348133.0,2.7e-05,1517.0,2973360.0,49.9917000001,
2017-02-01,925.1103923,346.0,371810.0,2.9e-05,989.0,3026400.0,50.2526710001,
2017-02-02,297.634563797,395.0,253565.0,2e-05,2360.0,3073200.0,53.1780450012,
2017-02-03,122.994598592,367.0,386786.0,3e-05,1334.0,3219840.0,51.738461,
2017-02-04,383.740815493,370.0,391254.0,3.1e-05,55.0,3333720.0,52.7596189979,
2017-02-05,90.6443874165,384.0,269269.0,2.1e-05,102.0,3316560.0,51.447578,
2017-02-06,222.081559252,401.0,263136.0,2.1e-05,424.0,3129360.0,54.9402369996,
2017-02-07,140.769541127,372.0,266140.0,2.1e-05,1384.0,3157440.0,50.9515890001,
2017-02-08,109.268583987,319.0,282840.0,2.2e-05,386.0,3102840.0,51.5057060002,
2017-02-09,365.878678309,439.0,272721.0,2.1e-05,320.0,3544320.0,101.061911999,
2017-02-10,404.69004495,376.0,254751.0,2e-05,280.0,3307200.0,52.3538680014,
2017-02-11,1271.42832686,441.0,376265.0,2.9e-05,531.0,3403920.0,57.583915001,
2017-02-12,101.314136623,429.0,279595.0,2.2e-05,398.0,3249480.0,58.0089860001,
2017-02-13,691.846110305,414.0,256981.0,2e-05,4367.0,3536520.0,61.0913240024,
